model,recall (macro),recall (weighted),Accuracy,F1 (macro),F1 (weighted),model_url,pooling_strategy,optimal_threshold
multilingual_paraphrase_sentence_mean,0.35384615384615387,0.375,0.375,0.29948717948717946,0.32499999999999996,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,mean,0.5818
multilingual_paraphrase_sentence_max,0.23529411764705882,0.265625,0.265625,0.19243697478991595,0.22529761904761905,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,max,0.85870004
base_gbert_sentence_mean,0.2246376811594203,0.25,0.25,0.18771566597653552,0.212797619047619,deepset/gbert-base,mean,0.78400004
multilingual_paraphrase_sentence_cls,0.171875,0.1875,0.1875,0.15364583333333331,0.16927083333333331,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,cls,0.8052
base_gbert_sentence_max,0.16176470588235295,0.171875,0.171875,0.13333333333333333,0.14166666666666666,deepset/gbert-base,max,0.9375
bert_base_uncased_sentence_max,0.14615384615384616,0.171875,0.171875,0.12352775429698507,0.1514995421245421,bert-base-uncased,max,0.97129995
base_gbert_sentence_cls,0.1323529411764706,0.140625,0.140625,0.09436274509803921,0.10026041666666667,deepset/gbert-base,cls,0.8312
bert_base_uncased_sentence_mean,0.1,0.109375,0.109375,0.08461538461538462,0.09635416666666667,bert-base-uncased,mean,0.97400004
jina_small_en_sentence_mean,0.07462686567164178,0.09375,0.09375,0.06965174129353233,0.08854166666666666,jinaai/jina-embeddings-v2-small-en,mean,0.8914
jina_small_en_sentence_cls,0.057971014492753624,0.078125,0.078125,0.05555555555555555,0.08072916666666666,jinaai/jina-embeddings-v2-small-en,cls,0.8704
jina_small_en_sentence_max,0.0703125,0.078125,0.078125,0.07291666666666666,0.08333333333333333,jinaai/jina-embeddings-v2-small-en,max,0.9286
bert_base_uncased_sentence_cls,0.05303030303030303,0.0625,0.0625,0.04292929292929293,0.049479166666666664,bert-base-uncased,cls,0.9476
jina_base_de_sentence_max,0.030303030303030304,0.03125,0.03125,0.009090909090909092,0.009375000000000001,jinaai/jina-embeddings-v2-base-de,max,0.64739996
jina_base_de_sentence_cls,0.0,0.0,0.0,0.0,0.0,jinaai/jina-embeddings-v2-base-de,cls,inf
jina_base_de_sentence_mean,0.0,0.0,0.0,0.0,0.0,jinaai/jina-embeddings-v2-base-de,mean,inf
